Kingdom,Phylum,Class,Order,Family,Tax_label,Sample.01,Sample.02,Sample.03,Sample.04,Sample.05,Sample.06
Archaea,Iainarchaeota,Iainarchaeia,Iainarchaeales,Iainarchaeales,*Iainarchaeales*,0.03,0.02,0.01,0,0.02,0.02
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,*Lacunisphaera*,0.1,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,*Phenylobacterium*,0.02,0.02,0.02,0,0.04,0
Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,*Solirubrobacterales* (*67-14*),0.08,0,0,0,0.01,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,B1-7BS,*Burkholderiales* (*B1-7BS*),0.09,0,0,0,0,0
Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,Dadabacteriales,*Dadabacteriales*,0.06,0.02,0.01,0,0.01,0
Archaea,Iainarchaeota,Iainarchaeia,Iainarchaeales,Iainarchaeales,*Candidatus_Iainarchaeum*,0.01,0.04,0,0,0.01,0.04
Bacteria,Planctomycetota,vadinHA49,vadinHA49,vadinHA49,*Planctomycetota* (*vadinHA49*),0.08,0.01,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,*Candidatus_Berkiella*,0.09,0,0,0,0,0
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Yanofskybacteria,Candidatus_Yanofskybacteria,*Candidatus_Yanofskybacteria*,0.06,0.02,0,0,0,0.01
Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,Genus of *Paracaedibacteraceae*,0.09,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Family of Rhizobiales,Genus of *Rhizobiales*,0.06,0.01,0,0,0,0
Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,SCGC_AAA286-E23,*Woesearchaeales* (*SCGC_AAA286-E23*),0.05,0.01,0.01,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,*Pseudolabrys*,0.06,0.02,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,*Candidatus_Paracaedibacter*,0.06,0.01,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,KF-JG30-B3,*Rhizobiales* (*KF-JG30-B3*),0.06,0.02,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,Sh765B-AG-111,Sh765B-AG-111,*Dehalococcoidia* (*Sh765B-AG-111*),0.04,0.04,0,0,0,0
Bacteria,Nitrospirota,Thermodesulfovibrionia,Order of Thermodesulfovibrionia,Family of Thermodesulfovibrionia,Genus of *Thermodesulfovibrionia*,0.05,0.01,0,0.01,0,0.01
Bacteria,Cyanobacteria,Vampirivibrionia,Obscuribacterales,Obscuribacteraceae,*Candidatus_Obscuribacter*,0.04,0.02,0,0,0,0.02
Bacteria,Zixibacteria,Zixibacteria,Zixibacteria,Zixibacteria,*Zixibacteria*,0.05,0.01,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Hydrogenophaga*,0.01,0.02,0.02,0.01,0.01,0.01
Bacteria,Acidobacteriota,Subgroup_5,Subgroup_5,Subgroup_5,*Acidobacteriota* (*Subgroup_5*),0.07,0,0,0,0,0
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,*Pedosphaeraceae* (*DEV114*),0.06,0,0.01,0,0,0
Bacteria,Latescibacterota,Latescibacterota,Latescibacterota,Latescibacterota,*Latescibacterota*,0.06,0.01,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,*Sideroxydans*,0.07,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Ga0077536,Ga0077536,*Gammaproteobacteria* (*Ga0077536*),0.07,0,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoidales,Family of Dehalococcoidales,Genus of *Dehalococcoidales*,0.02,0.04,0,0,0,0.01
Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,*Woeseia*,0.07,0,0,0,0,0
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Genus of *Pedosphaeraceae*,0.07,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,*Staphylococcus*,0.02,0.01,0.01,0.01,0.01,0.01
Bacteria,Patescibacteria,Microgenomatia,Candidatus_Woesebacteria,Candidatus_Woesebacteria,*Candidatus_Woesebacteria*,0.04,0.02,0,0,0,0.01
