Kingdom,Phylum,Class,Order,Family,Sample.01,Sample.02,Sample.03,Sample.04,Sample.05,Sample.06
Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,*Acidiferrobacteraceae*,0.04,0,0,0,0,0
Bacteria,Dependentiae,Babeliae,Babeliales,*Vermiphilaceae*,0.04,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Tenderiales,*Tenderiaceae*,0.04,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,*Beijerinckiaceae*,0.03,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Dongiales,*Dongiaceae*,0.03,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,EV818SWSAP88,*EV818SWSAP88*,0.04,0,0,0,0,0
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,*Saccharimonadales*,0.04,0,0,0,0,0
Bacteria,Desulfobacterota,Desulfuromonadia,PB19,*PB19*,0.03,0,0,0,0,0
Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,*Gemmatimonadaceae*,0.03,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,*Rhizobiaceae*,0.03,0.01,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,FS117-23B-02,*FS117-23B-02*,0.03,0,0,0,0,0
Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,*WD2101_soil_group*,0.03,0,0,0,0,0
Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,*GW2011*,0,0,0,0,0,0.03
Bacteria,Myxococcota,Polyangia,Nannocystales,*Nannocystaceae*,0.03,0,0,0,0,0
Bacteria,Planctomycetota,Phycisphaerae,MSBL9,*SG8-4*,0.03,0,0,0,0,0
Bacteria,Actinobacteriota,Acidimicrobiia,Order of Acidimicrobiia,*Family* (*of*) Acidimicrobiia,0.02,0.01,0,0,0,0
Bacteria,Chloroflexi,TK10,TK10,*TK10*,0.03,0,0,0,0,0
Bacteria,Chloroflexi,KD4-96,KD4-96,*KD4-96*,0.02,0,0,0,0,0
Bacteria,MBNT15,MBNT15,MBNT15,*MBNT15*,0.03,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,*AB1*,0.03,0,0,0,0,0
Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,*Desulfobaccaceae*,0.03,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Oxalobacteraceae*,0.02,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,*Family* (*of*) Defluviicoccales,0.03,0,0,0,0,0
Bacteria,Bacteroidota,Bacteroidia,Order of Bacteroidia,*Family* (*of*) Bacteroidia,0.03,0,0,0,0,0
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,*Saccharimonadaceae*,0.03,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Alcaligenaceae*,0.03,0,0,0,0,0
Bacteria,Bacteroidota,Bacteroidia,Bacteroidetes_VC2.1_Bac22,*Bacteroidetes_VC2.1_Bac22*,0.02,0.01,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,*Halomonadaceae*,0.02,0.01,0,0,0,0
Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,*Gimesiaceae*,0.02,0.01,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,JdFR-54,*JdFR-54*,0.03,0,0,0,0,0
Bacteria,Sumerlaeota,Sumerlaeia,Sumerlaeales,*Sumerlaeaceae*,0.03,0,0,0,0,0
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Campbellbacteria,*Candidatus_Campbellbacteria*,0.03,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,*Methyloligellaceae*,0.03,0,0,0,0,0
Bacteria,Patescibacteria,Berkelbacteria,Berkelbacteria,*Berkelbacteria*,0.02,0.01,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,*Methylomonadaceae*,0.02,0,0,0,0,0
Bacteria,Armatimonadota,Class of Armatimonadota,Order of Armatimonadota,*Family* (*of*) Armatimonadota,0.03,0,0,0,0,0
Bacteria,Bacteroidota,OC31,OC31,*OC31*,0.01,0.02,0,0,0,0
Bacteria,Patescibacteria,Gracilibacteria,Gracilibacteria,*Gracilibacteria*,0.02,0,0,0,0,0
Bacteria,Dependentiae,Babeliae,Babeliales,*Family* (*of*) Babeliales,0.02,0,0,0,0,0
Bacteria,Myxococcota,Polyangia,Polyangiales,*Polyangiaceae*,0.02,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Beggiatoales,*Beggiatoaceae*,0.02,0,0,0,0,0
Bacteria,Spirochaetota,Leptospirae,Leptospirales,*Leptospiraceae*,0.02,0,0,0,0,0
